"Title","CG: Current receipts: Taxes on income: PAYE income tax: £m CPNSA"
"CDID","MS6W"
"Source dataset ID","PUSF"
"PreUnit","£"
"Unit","m"
"Release date","24-05-2022"
"Next release","23 June 2022"
"Important notes",
"1993",""
"1994",""
"1995",""
"1996",""
"1997","65953"
"1998","71310"
"1999","77694"
"2000","87018"
"2001","91960"
"2002","94109"
"2003","98106"
"2004","105513"
"2005","112742"
"2006","120011"
"2007","130228"
"2008","130934"
"2009","122482"
"2010","130019"
"2011","134827"
"2012","133614"
"2013","134062"
"2014","138308"
"2015","144703"
"2016","148761"
"2017","153457"
"2018","160354"
"2019","165573"
"2020","165087"
"2021","184449"
"1993 Q1",""
"1993 Q2",""
"1993 Q3",""
"1993 Q4",""
"1994 Q1",""
"1994 Q2",""
"1994 Q3",""
"1994 Q4",""
"1995 Q1",""
"1995 Q2",""
"1995 Q3",""
"1995 Q4",""
"1996 Q1",""
"1996 Q2",""
"1996 Q3",""
"1996 Q4",""
"1997 Q1",""
"1997 Q2","15786"
"1997 Q3","16024"
"1997 Q4","16803"
"1998 Q1","18343"
"1998 Q2","17384"
"1998 Q3","17418"
"1998 Q4","18165"
"1999 Q1","20252"
"1999 Q2","18661"
"1999 Q3","18891"
"1999 Q4","19890"
"2000 Q1","22878"
"2000 Q2","20786"
"2000 Q3","21181"
"2000 Q4","22173"
"2001 Q1","25638"
"2001 Q2","21868"
"2001 Q3","21934"
"2001 Q4","22520"
"2002 Q1","25806"
"2002 Q2","22485"
"2002 Q3","22658"
"2002 Q4","23160"
"2003 Q1","26378"
"2003 Q2","23467"
"2003 Q3","23800"
"2003 Q4","24461"
"2004 Q1","28595"
"2004 Q2","25076"
"2004 Q3","25250"
"2004 Q4","26592"
"2005 Q1","30628"
"2005 Q2","27178"
"2005 Q3","26996"
"2005 Q4","27940"
"2006 Q1","32794"
"2006 Q2","28708"
"2006 Q3","28595"
"2006 Q4","29914"
"2007 Q1","36207"
"2007 Q2","30835"
"2007 Q3","31166"
"2007 Q4","32020"
"2008 Q1","37845"
"2008 Q2","31231"
"2008 Q3","30932"
"2008 Q4","30926"
"2009 Q1","33329"
"2009 Q2","29794"
"2009 Q3","29231"
"2009 Q4","30128"
"2010 Q1","36196"
"2010 Q2","31150"
"2010 Q3","30967"
"2010 Q4","31706"
"2011 Q1","38183"
"2011 Q2","32339"
"2011 Q3","32050"
"2011 Q4","32255"
"2012 Q1","37271"
"2012 Q2","32488"
"2012 Q3","31915"
"2012 Q4","31940"
"2013 Q1","36216"
"2013 Q2","33510"
"2013 Q3","31756"
"2013 Q4","32580"
"2014 Q1","37635"
"2014 Q2","33480"
"2014 Q3","33276"
"2014 Q4","33917"
"2015 Q1","39328"
"2015 Q2","35457"
"2015 Q3","34643"
"2015 Q4","35275"
"2016 Q1","40784"
"2016 Q2","35933"
"2016 Q3","35557"
"2016 Q4","36487"
"2017 Q1","41758"
"2017 Q2","37178"
"2017 Q3","36674"
"2017 Q4","37847"
"2018 Q1","43227"
"2018 Q2","38741"
"2018 Q3","38691"
"2018 Q4","39695"
"2019 Q1","46343"
"2019 Q2","39858"
"2019 Q3","39287"
"2019 Q4","40085"
"2020 Q1","45993"
"2020 Q2","39088"
"2020 Q3","38696"
"2020 Q4","41310"
"2021 Q1","49435"
"2021 Q2","44968"
"2021 Q3","43957"
"2021 Q4","46089"
"2022 Q1","57671"
"1993 JAN",""
"1993 FEB",""
"1993 MAR",""
"1993 APR",""
"1993 MAY",""
"1993 JUN",""
"1993 JUL",""
"1993 AUG",""
"1993 SEP",""
"1993 OCT",""
"1993 NOV",""
"1993 DEC",""
"1994 JAN",""
"1994 FEB",""
"1994 MAR",""
"1994 APR",""
"1994 MAY",""
"1994 JUN",""
"1994 JUL",""
"1994 AUG",""
"1994 SEP",""
"1994 OCT",""
"1994 NOV",""
"1994 DEC",""
"1995 JAN",""
"1995 FEB",""
"1995 MAR",""
"1995 APR",""
"1995 MAY",""
"1995 JUN",""
"1995 JUL",""
"1995 AUG",""
"1995 SEP",""
"1995 OCT",""
"1995 NOV",""
"1995 DEC",""
"1996 JAN",""
"1996 FEB",""
"1996 MAR",""
"1996 APR",""
"1996 MAY",""
"1996 JUN",""
"1996 JUL",""
"1996 AUG",""
"1996 SEP",""
"1996 OCT",""
"1996 NOV",""
"1996 DEC",""
"1997 JAN",""
"1997 FEB",""
"1997 MAR",""
"1997 APR","5157"
"1997 MAY","5199"
"1997 JUN","5430"
"1997 JUL","5324"
"1997 AUG","5225"
"1997 SEP","5475"
"1997 OCT","5378"
"1997 NOV","5479"
"1997 DEC","5946"
"1998 JAN","5747"
"1998 FEB","5547"
"1998 MAR","7049"
"1998 APR","5881"
"1998 MAY","5684"
"1998 JUN","5819"
"1998 JUL","5858"
"1998 AUG","5733"
"1998 SEP","5827"
"1998 OCT","5816"
"1998 NOV","5932"
"1998 DEC","6417"
"1999 JAN","6286"
"1999 FEB","6237"
"1999 MAR","7729"
"1999 APR","6324"
"1999 MAY","5976"
"1999 JUN","6361"
"1999 JUL","6353"
"1999 AUG","6210"
"1999 SEP","6328"
"1999 OCT","6354"
"1999 NOV","6462"
"1999 DEC","7074"
"2000 JAN","7166"
